session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2016-01-04,2016-01-04T14:30:00+0000,2016-01-04T21:00:00+0000,2016-01-04T09:30:00-0500,2016-01-04T16:00:00-0500,False,2016,1,Monday,XNYS,America/New_York
2016-01-05,2016-01-05T14:30:00+0000,2016-01-05T21:00:00+0000,2016-01-05T09:30:00-0500,2016-01-05T16:00:00-0500,False,2016,1,Tuesday,XNYS,America/New_York
2016-01-06,2016-01-06T14:30:00+0000,2016-01-06T21:00:00+0000,2016-01-06T09:30:00-0500,2016-01-06T16:00:00-0500,False,2016,1,Wednesday,XNYS,America/New_York
2016-01-07,2016-01-07T14:30:00+0000,2016-01-07T21:00:00+0000,2016-01-07T09:30:00-0500,2016-01-07T16:00:00-0500,False,2016,1,Thursday,XNYS,America/New_York
2016-01-08,2016-01-08T14:30:00+0000,2016-01-08T21:00:00+0000,2016-01-08T09:30:00-0500,2016-01-08T16:00:00-0500,False,2016,1,Friday,XNYS,America/New_York
2016-01-11,2016-01-11T14:30:00+0000,2016-01-11T21:00:00+0000,2016-01-11T09:30:00-0500,2016-01-11T16:00:00-0500,False,2016,1,Monday,XNYS,America/New_York
2016-01-12,2016-01-12T14:30:00+0000,2016-01-12T21:00:00+0000,2016-01-12T09:30:00-0500,2016-01-12T16:00:00-0500,False,2016,1,Tuesday,XNYS,America/New_York
2016-01-13,2016-01-13T14:30:00+0000,2016-01-13T21:00:00+0000,2016-01-13T09:30:00-0500,2016-01-13T16:00:00-0500,False,2016,1,Wednesday,XNYS,America/New_York
2016-01-14,2016-01-14T14:30:00+0000,2016-01-14T21:00:00+0000,2016-01-14T09:30:00-0500,2016-01-14T16:00:00-0500,False,2016,1,Thursday,XNYS,America/New_York
2016-01-15,2016-01-15T14:30:00+0000,2016-01-15T21:00:00+0000,2016-01-15T09:30:00-0500,2016-01-15T16:00:00-0500,False,2016,1,Friday,XNYS,America/New_York
2016-01-19,2016-01-19T14:30:00+0000,2016-01-19T21:00:00+0000,2016-01-19T09:30:00-0500,2016-01-19T16:00:00-0500,False,2016,1,Tuesday,XNYS,America/New_York
2016-01-20,2016-01-20T14:30:00+0000,2016-01-20T21:00:00+0000,2016-01-20T09:30:00-0500,2016-01-20T16:00:00-0500,False,2016,1,Wednesday,XNYS,America/New_York
2016-01-21,2016-01-21T14:30:00+0000,2016-01-21T21:00:00+0000,2016-01-21T09:30:00-0500,2016-01-21T16:00:00-0500,False,2016,1,Thursday,XNYS,America/New_York
2016-01-22,2016-01-22T14:30:00+0000,2016-01-22T21:00:00+0000,2016-01-22T09:30:00-0500,2016-01-22T16:00:00-0500,False,2016,1,Friday,XNYS,America/New_York
2016-01-25,2016-01-25T14:30:00+0000,2016-01-25T21:00:00+0000,2016-01-25T09:30:00-0500,2016-01-25T16:00:00-0500,False,2016,1,Monday,XNYS,America/New_York
2016-01-26,2016-01-26T14:30:00+0000,2016-01-26T21:00:00+0000,2016-01-26T09:30:00-0500,2016-01-26T16:00:00-0500,False,2016,1,Tuesday,XNYS,America/New_York
2016-01-27,2016-01-27T14:30:00+0000,2016-01-27T21:00:00+0000,2016-01-27T09:30:00-0500,2016-01-27T16:00:00-0500,False,2016,1,Wednesday,XNYS,America/New_York
2016-01-28,2016-01-28T14:30:00+0000,2016-01-28T21:00:00+0000,2016-01-28T09:30:00-0500,2016-01-28T16:00:00-0500,False,2016,1,Thursday,XNYS,America/New_York
2016-01-29,2016-01-29T14:30:00+0000,2016-01-29T21:00:00+0000,2016-01-29T09:30:00-0500,2016-01-29T16:00:00-0500,False,2016,1,Friday,XNYS,America/New_York
2016-02-01,2016-02-01T14:30:00+0000,2016-02-01T21:00:00+0000,2016-02-01T09:30:00-0500,2016-02-01T16:00:00-0500,False,2016,2,Monday,XNYS,America/New_York
2016-02-02,2016-02-02T14:30:00+0000,2016-02-02T21:00:00+0000,2016-02-02T09:30:00-0500,2016-02-02T16:00:00-0500,False,2016,2,Tuesday,XNYS,America/New_York
2016-02-03,2016-02-03T14:30:00+0000,2016-02-03T21:00:00+0000,2016-02-03T09:30:00-0500,2016-02-03T16:00:00-0500,False,2016,2,Wednesday,XNYS,America/New_York
2016-02-04,2016-02-04T14:30:00+0000,2016-02-04T21:00:00+0000,2016-02-04T09:30:00-0500,2016-02-04T16:00:00-0500,False,2016,2,Thursday,XNYS,America/New_York
2016-02-05,2016-02-05T14:30:00+0000,2016-02-05T21:00:00+0000,2016-02-05T09:30:00-0500,2016-02-05T16:00:00-0500,False,2016,2,Friday,XNYS,America/New_York
2016-02-08,2016-02-08T14:30:00+0000,2016-02-08T21:00:00+0000,2016-02-08T09:30:00-0500,2016-02-08T16:00:00-0500,False,2016,2,Monday,XNYS,America/New_York
2016-02-09,2016-02-09T14:30:00+0000,2016-02-09T21:00:00+0000,2016-02-09T09:30:00-0500,2016-02-09T16:00:00-0500,False,2016,2,Tuesday,XNYS,America/New_York
2016-02-10,2016-02-10T14:30:00+0000,2016-02-10T21:00:00+0000,2016-02-10T09:30:00-0500,2016-02-10T16:00:00-0500,False,2016,2,Wednesday,XNYS,America/New_York
