session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2020-01-02,2020-01-02T14:30:00+0000,2020-01-02T21:00:00+0000,2020-01-02T09:30:00-0500,2020-01-02T16:00:00-0500,False,2020,1,Thursday,XNYS,America/New_York
2020-01-03,2020-01-03T14:30:00+0000,2020-01-03T21:00:00+0000,2020-01-03T09:30:00-0500,2020-01-03T16:00:00-0500,False,2020,1,Friday,XNYS,America/New_York
2020-01-06,2020-01-06T14:30:00+0000,2020-01-06T21:00:00+0000,2020-01-06T09:30:00-0500,2020-01-06T16:00:00-0500,False,2020,1,Monday,XNYS,America/New_York
2020-01-07,2020-01-07T14:30:00+0000,2020-01-07T21:00:00+0000,2020-01-07T09:30:00-0500,2020-01-07T16:00:00-0500,False,2020,1,Tuesday,XNYS,America/New_York
2020-01-08,2020-01-08T14:30:00+0000,2020-01-08T21:00:00+0000,2020-01-08T09:30:00-0500,2020-01-08T16:00:00-0500,False,2020,1,Wednesday,XNYS,America/New_York
2020-01-09,2020-01-09T14:30:00+0000,2020-01-09T21:00:00+0000,2020-01-09T09:30:00-0500,2020-01-09T16:00:00-0500,False,2020,1,Thursday,XNYS,America/New_York
2020-01-10,2020-01-10T14:30:00+0000,2020-01-10T21:00:00+0000,2020-01-10T09:30:00-0500,2020-01-10T16:00:00-0500,False,2020,1,Friday,XNYS,America/New_York
2020-01-13,2020-01-13T14:30:00+0000,2020-01-13T21:00:00+0000,2020-01-13T09:30:00-0500,2020-01-13T16:00:00-0500,False,2020,1,Monday,XNYS,America/New_York
2020-01-14,2020-01-14T14:30:00+0000,2020-01-14T21:00:00+0000,2020-01-14T09:30:00-0500,2020-01-14T16:00:00-0500,False,2020,1,Tuesday,XNYS,America/New_York
2020-01-15,2020-01-15T14:30:00+0000,2020-01-15T21:00:00+0000,2020-01-15T09:30:00-0500,2020-01-15T16:00:00-0500,False,2020,1,Wednesday,XNYS,America/New_York
2020-01-16,2020-01-16T14:30:00+0000,2020-01-16T21:00:00+0000,2020-01-16T09:30:00-0500,2020-01-16T16:00:00-0500,False,2020,1,Thursday,XNYS,America/New_York
2020-01-17,2020-01-17T14:30:00+0000,2020-01-17T21:00:00+0000,2020-01-17T09:30:00-0500,2020-01-17T16:00:00-0500,False,2020,1,Friday,XNYS,America/New_York
2020-01-21,2020-01-21T14:30:00+0000,2020-01-21T21:00:00+0000,2020-01-21T09:30:00-0500,2020-01-21T16:00:00-0500,False,2020,1,Tuesday,XNYS,America/New_York
2020-01-22,2020-01-22T14:30:00+0000,2020-01-22T21:00:00+0000,2020-01-22T09:30:00-0500,2020-01-22T16:00:00-0500,False,2020,1,Wednesday,XNYS,America/New_York
2020-01-23,2020-01-23T14:30:00+0000,2020-01-23T21:00:00+0000,2020-01-23T09:30:00-0500,2020-01-23T16:00:00-0500,False,2020,1,Thursday,XNYS,America/New_York
2020-01-24,2020-01-24T14:30:00+0000,2020-01-24T21:00:00+0000,2020-01-24T09:30:00-0500,2020-01-24T16:00:00-0500,False,2020,1,Friday,XNYS,America/New_York
2020-01-27,2020-01-27T14:30:00+0000,2020-01-27T21:00:00+0000,2020-01-27T09:30:00-0500,2020-01-27T16:00:00-0500,False,2020,1,Monday,XNYS,America/New_York
2020-01-28,2020-01-28T14:30:00+0000,2020-01-28T21:00:00+0000,2020-01-28T09:30:00-0500,2020-01-28T16:00:00-0500,False,2020,1,Tuesday,XNYS,America/New_York
2020-01-29,2020-01-29T14:30:00+0000,2020-01-29T21:00:00+0000,2020-01-29T09:30:00-0500,2020-01-29T16:00:00-0500,False,2020,1,Wednesday,XNYS,America/New_York
2020-01-30,2020-01-30T14:30:00+0000,2020-01-30T21:00:00+0000,2020-01-30T09:30:00-0500,2020-01-30T16:00:00-0500,False,2020,1,Thursday,XNYS,America/New_York
2020-01-31,2020-01-31T14:30:00+0000,2020-01-31T21:00:00+0000,2020-01-31T09:30:00-0500,2020-01-31T16:00:00-0500,False,2020,1,Friday,XNYS,America/New_York
2020-02-03,2020-02-03T14:30:00+0000,2020-02-03T21:00:00+0000,2020-02-03T09:30:00-0500,2020-02-03T16:00:00-0500,False,2020,2,Monday,XNYS,America/New_York
2020-02-04,2020-02-04T14:30:00+0000,2020-02-04T21:00:00+0000,2020-02-04T09:30:00-0500,2020-02-04T16:00:00-0500,False,2020,2,Tuesday,XNYS,America/New_York
2020-02-05,2020-02-05T14:30:00+0000,2020-02-05T21:00:00+0000,2020-02-05T09:30:00-0500,2020-02-05T16:00:00-0500,False,2020,2,Wednesday,XNYS,America/New_York
2020-02-06,2020-02-06T14:30:00+0000,2020-02-06T21:00:00+0000,2020-02-06T09:30:00-0500,2020-02-06T16:00:00-0500,False,2020,2,Thursday,XNYS,America/New_York
2020-02-07,2020-02-07T14:30:00+0000,2020-02-07T21:00:00+0000,2020-02-07T09:30:00-0500,2020-02-07T16:00:00-0500,False,2020,2,Friday,XNYS,America/New_York
2020-02-10,2020-02-10T14:30:00+0000,2020-02-10T21:00:00+0000,2020-02-10T09:30:00-0500,2020-02-10T16:00:00-0500,False,2020,2,Monday,XNYS,America/New_York
2020-02-11,2020-02-11T14:30:00+0000,2020-02-11T21:00:00+0000,2020-02-11T09:30:00-0500,2020-02-11T16:00:00-0500,False,2020,2,Tuesday,XNYS,America/New_York
2020-02-12,2020-02-12T14:30:00+0000,2020-02-12T21:00:00+0000,2020-02-12T09:30:00-0500,2020-02-12T16:00:00-0500,False,2020,2,Wednesday,XNYS,America/New_York
2020-02-13,2020-02-13T14:30:00+0000,2020-02-13T21:00:00+0000,2020-02-13T09:30:00-0500,2020-02-13T16:00:00-0500,False,2020,2,Thursday,XNYS,America/New_York
2020-02-14,2020-02-14T14:30:00+0000,2020-02-14T21:00:00+0000,2020-02-14T09:30:00-0500,2020-02-14T16:00:00-0500,False,2020,2,Friday,XNYS,America/New_York
2020-02-18,2020-02-18T14:30:00+0000,2020-02-18T21:00:00+0000,2020-02-18T09:30:00-0500,2020-02-18T16:00:00-0500,False,2020,2,Tuesday,XNYS,America/New_York
2020-02-19,2020-02-19T14:30:00+0000,2020-02-19T21:00:00+0000,2020-02-19T09:30:00-0500,2020-02-19T16:00:00-0500,False,2020,2,Wednesday,XNYS,America/New_York
2020-02-20,2020-02-20T14:30:00+0000,2020-02-20T21:00:00+0000,2020-02-20T09:30:00-0500,2020-02-20T16:00:00-0500,False,2020,2,Thursday,XNYS,America/New_York
2020-02-21,2020-02-21T14:30:00+0000,2020-02-21T21:00:00+0000,2020-02-21T09:30:00-0500,2020-02-21T16:00:00-0500,False,2020,2,Friday,XNYS,America/New_York
2020-02-24,2020-02-24T14:30:00+0000,2020-02-24T21:00:00+0000,2020-02-24T09:30:00-0500,2020-02-24T16:00:00-0500,False,2020,2,Monday,XNYS,America/New_York
2020-02-25,2020-02-25T14:30:00+0000,2020-02-25T21:00:00+0000,2020-02-25T09:30:00-0500,2020-02-25T16:00:00-0500,False,2020,2,Tuesday,XNYS,America/New_York
2020-02-26,2020-02-26T14:30:00+0000,2020-02-26T21:00:00+0000,2020-02-26T09:30:00-0500,2020-02-26T16:00:00-0500,False,2020,2,Wednesday,XNYS,America/New_York
2020-02-27,2020-02-27T14:30:00+0000,2020-02-27T21:00:00+0000,2020-02-27T09:30:00-0500,2020-02-27T16:00:00-0500,False,2020,2,Thursday,XNYS,America/New_York
2020-02-28,2020-02-28T14:30:00+0000,2020-02-28T21:00:00+0000,2020-02-28T09:30:00-0500,2020-02-28T16:00:00-0500,False,2020,2,Friday,XNYS,America/New_York
2020-03-02,2020-03-02T14:30:00+0000,2020-03-02T21:00:00+0000,2020-03-02T09:30:00-0500,2020-03-02T16:00:00-0500,False,2020,3,Monday,XNYS,America/New_York
2020-03-03,2020-03-03T14:30:00+0000,2020-03-03T21:00:00+0000,2020-03-03T09:30:00-0500,2020-03-03T16:00:00-0500,False,2020,3,Tuesday,XNYS,America/New_York
2020-03-04,2020-03-04T14:30:00+0000,2020-03-04T21:00:00+0000,2020-03-04T09:30:00-0500,2020-03-04T16:00:00-0500,False,2020,3,Wednesday,XNYS,America/New_York
2020-03-05,2020-03-05T14:30:00+0000,2020-03-05T21:00:00+0000,2020-03-05T09:30:00-0500,2020-03-05T16:00:00-0500,False,2020,3,Thursday,XNYS,America/New_York
2020-03-06,2020-03-06T14:30:00+0000,2020-03-06T21:00:00+0000,2020-03-06T09:30:00-0500,2020-03-06T16:00:00-0500,False,2020,3,Friday,XNYS,America/New_York
2020-03-09,2020-03-09T13:30:00+0000,2020-03-09T20:00:00+0000,2020-03-09T09:30:00-0400,2020-03-09T16:00:00-0400,False,2020,3,Monday,XNYS,America/New_York
2020-03-10,2020-03-10T13:30:00+0000,2020-03-10T20:00:00+0000,2020-03-10T09:30:00-0400,2020-03-10T16:00:00-0400,False,2020,3,Tuesday,XNYS,America/New_York
2020-03-11,2020-03-11T13:30:00+0000,2020-03-11T20:00:00+0000,2020-03-11T09:30:00-0400,2020-03-11T16:00:00-0400,False,2020,3,Wednesday,XNYS,America/New_York
2020-03-12,2020-03-12T13:30:00+0000,2020-03-12T20:00:00+0000,2020-03-12T09:30:00-0400,2020-03-12T16:00:00-0400,False,2020,3,Thursday,XNYS,America/New_York
2020-03-13,2020-03-13T13:30:00+0000,2020-03-13T20:00:00+0000,2020-03-13T09:30:00-0400,2020-03-13T16:00:00-0400,False,2020,3,Friday,XNYS,America/New_York
2020-03-16,2020-03-16T13:30:00+0000,2020-03-16T20:00:00+0000,2020-03-16T09:30:00-0400,2020-03-16T16:00:00-0400,False,2020,3,Monday,XNYS,America/New_York
2020-03-17,2020-03-17T13:30:00+0000,2020-03-17T20:00:00+0000,2020-03-17T09:30:00-0400,2020-03-17T16:00:00-0400,False,2020,3,Tuesday,XNYS,America/New_York
2020-03-18,2020-03-18T13:30:00+0000,2020-03-18T20:00:00+0000,2020-03-18T09:30:00-0400,2020-03-18T16:00:00-0400,False,2020,3,Wednesday,XNYS,America/New_York
2020-03-19,2020-03-19T13:30:00+0000,2020-03-19T20:00:00+0000,2020-03-19T09:30:00-0400,2020-03-19T16:00:00-0400,False,2020,3,Thursday,XNYS,America/New_York
2020-03-20,2020-03-20T13:30:00+0000,2020-03-20T20:00:00+0000,2020-03-20T09:30:00-0400,2020-03-20T16:00:00-0400,False,2020,3,Friday,XNYS,America/New_York
2020-03-23,2020-03-23T13:30:00+0000,2020-03-23T20:00:00+0000,2020-03-23T09:30:00-0400,2020-03-23T16:00:00-0400,False,2020,3,Monday,XNYS,America/New_York
2020-03-24,2020-03-24T13:30:00+0000,2020-03-24T20:00:00+0000,2020-03-24T09:30:00-0400,2020-03-24T16:00:00-0400,False,2020,3,Tuesday,XNYS,America/New_York
2020-03-25,2020-03-25T13:30:00+0000,2020-03-25T20:00:00+0000,2020-03-25T09:30:00-0400,2020-03-25T16:00:00-0400,False,2020,3,Wednesday,XNYS,America/New_York
2020-03-26,2020-03-26T13:30:00+0000,2020-03-26T20:00:00+0000,2020-03-26T09:30:00-0400,2020-03-26T16:00:00-0400,False,2020,3,Thursday,XNYS,America/New_York
2020-03-27,2020-03-27T13:30:00+0000,2020-03-27T20:00:00+0000,2020-03-27T09:30:00-0400,2020-03-27T16:00:00-0400,False,2020,3,Friday,XNYS,America/New_York
2020-03-30,2020-03-30T13:30:00+0000,2020-03-30T20:00:00+0000,2020-03-30T09:30:00-0400,2020-03-30T16:00:00-0400,False,2020,3,Monday,XNYS,America/New_York
2020-03-31,2020-03-31T13:30:00+0000,2020-03-31T20:00:00+0000,2020-03-31T09:30:00-0400,2020-03-31T16:00:00-0400,False,2020,3,Tuesday,XNYS,America/New_York
2020-04-01,2020-04-01T13:30:00+0000,2020-04-01T20:00:00+0000,2020-04-01T09:30:00-0400,2020-04-01T16:00:00-0400,False,2020,4,Wednesday,XNYS,America/New_York
2020-04-02,2020-04-02T13:30:00+0000,2020-04-02T20:00:00+0000,2020-04-02T09:30:00-0400,2020-04-02T16:00:00-0400,False,2020,4,Thursday,XNYS,America/New_York
2020-04-03,2020-04-03T13:30:00+0000,2020-04-03T20:00:00+0000,2020-04-03T09:30:00-0400,2020-04-03T16:00:00-0400,False,2020,4,Friday,XNYS,America/New_York
2020-04-06,2020-04-06T13:30:00+0000,2020-04-06T20:00:00+0000,2020-04-06T09:30:00-0400,2020-04-06T16:00:00-0400,False,2020,4,Monday,XNYS,America/New_York
2020-04-07,2020-04-07T13:30:00+0000,2020-04-07T20:00:00+0000,2020-04-07T09:30:00-0400,2020-04-07T16:00:00-0400,False,2020,4,Tuesday,XNYS,America/New_York
2020-04-08,2020-04-08T13:30:00+0000,2020-04-08T20:00:00+0000,2020-04-08T09:30:00-0400,2020-04-08T16:00:00-0400,False,2020,4,Wednesday,XNYS,America/New_York
2020-04-09,2020-04-09T13:30:00+0000,2020-04-09T20:00:00+0000,2020-04-09T09:30:00-0400,2020-04-09T16:00:00-0400,False,2020,4,Thursday,XNYS,America/New_York
2020-04-13,2020-04-13T13:30:00+0000,2020-04-13T20:00:00+0000,2020-04-13T09:30:00-0400,2020-04-13T16:00:00-0400,False,2020,4,Monday,XNYS,America/New_York
2020-04-14,2020-04-14T13:30:00+0000,2020-04-14T20:00:00+0000,2020-04-14T09:30:00-0400,2020-04-14T16:00:00-0400,False,2020,4,Tuesday,XNYS,America/New_York
2020-04-15,2020-04-15T13:30:00+0000,2020-04-15T20:00:00+0000,2020-04-15T09:30:00-0400,2020-04-15T16:00:00-0400,False,2020,4,Wednesday,XNYS,America/New_York
2020-04-16,2020-04-16T13:30:00+0000,2020-04-16T20:00:00+0000,2020-04-16T09:30:00-0400,2020-04-16T16:00:00-0400,False,2020,4,Thursday,XNYS,America/New_York
2020-04-17,2020-04-17T13:30:00+0000,2020-04-17T20:00:00+0000,2020-04-17T09:30:00-0400,2020-04-17T16:00:00-0400,False,2020,4,Friday,XNYS,America/New_York
2020-04-20,2020-04-20T13:30:00+0000,2020-04-20T20:00:00+0000,2020-04-20T09:30:00-0400,2020-04-20T16:00:00-0400,False,2020,4,Monday,XNYS,America/New_York
2020-04-21,2020-04-21T13:30:00+0000,2020-04-21T20:00:00+0000,2020-04-21T09:30:00-0400,2020-04-21T16:00:00-0400,False,2020,4,Tuesday,XNYS,America/New_York
2020-04-22,2020-04-22T13:30:00+0000,2020-04-22T20:00:00+0000,2020-04-22T09:30:00-0400,2020-04-22T16:00:00-0400,False,2020,4,Wednesday,XNYS,America/New_York
