session_date,open_utc,close_utc,open_et,close_et,is_early_close,year,month,dow,calendar,timezone
2022-01-03,2022-01-03T14:30:00+0000,2022-01-03T21:00:00+0000,2022-01-03T09:30:00-0500,2022-01-03T16:00:00-0500,False,2022,1,Monday,XNYS,America/New_York
2022-01-04,2022-01-04T14:30:00+0000,2022-01-04T21:00:00+0000,2022-01-04T09:30:00-0500,2022-01-04T16:00:00-0500,False,2022,1,Tuesday,XNYS,America/New_York
2022-01-05,2022-01-05T14:30:00+0000,2022-01-05T21:00:00+0000,2022-01-05T09:30:00-0500,2022-01-05T16:00:00-0500,False,2022,1,Wednesday,XNYS,America/New_York
2022-01-06,2022-01-06T14:30:00+0000,2022-01-06T21:00:00+0000,2022-01-06T09:30:00-0500,2022-01-06T16:00:00-0500,False,2022,1,Thursday,XNYS,America/New_York
2022-01-07,2022-01-07T14:30:00+0000,2022-01-07T21:00:00+0000,2022-01-07T09:30:00-0500,2022-01-07T16:00:00-0500,False,2022,1,Friday,XNYS,America/New_York
2022-01-10,2022-01-10T14:30:00+0000,2022-01-10T21:00:00+0000,2022-01-10T09:30:00-0500,2022-01-10T16:00:00-0500,False,2022,1,Monday,XNYS,America/New_York
2022-01-11,2022-01-11T14:30:00+0000,2022-01-11T21:00:00+0000,2022-01-11T09:30:00-0500,2022-01-11T16:00:00-0500,False,2022,1,Tuesday,XNYS,America/New_York
2022-01-12,2022-01-12T14:30:00+0000,2022-01-12T21:00:00+0000,2022-01-12T09:30:00-0500,2022-01-12T16:00:00-0500,False,2022,1,Wednesday,XNYS,America/New_York
2022-01-13,2022-01-13T14:30:00+0000,2022-01-13T21:00:00+0000,2022-01-13T09:30:00-0500,2022-01-13T16:00:00-0500,False,2022,1,Thursday,XNYS,America/New_York
2022-01-14,2022-01-14T14:30:00+0000,2022-01-14T21:00:00+0000,2022-01-14T09:30:00-0500,2022-01-14T16:00:00-0500,False,2022,1,Friday,XNYS,America/New_York
2022-01-18,2022-01-18T14:30:00+0000,2022-01-18T21:00:00+0000,2022-01-18T09:30:00-0500,2022-01-18T16:00:00-0500,False,2022,1,Tuesday,XNYS,America/New_York
2022-01-19,2022-01-19T14:30:00+0000,2022-01-19T21:00:00+0000,2022-01-19T09:30:00-0500,2022-01-19T16:00:00-0500,False,2022,1,Wednesday,XNYS,America/New_York
2022-01-20,2022-01-20T14:30:00+0000,2022-01-20T21:00:00+0000,2022-01-20T09:30:00-0500,2022-01-20T16:00:00-0500,False,2022,1,Thursday,XNYS,America/New_York
2022-01-21,2022-01-21T14:30:00+0000,2022-01-21T21:00:00+0000,2022-01-21T09:30:00-0500,2022-01-21T16:00:00-0500,False,2022,1,Friday,XNYS,America/New_York
2022-01-24,2022-01-24T14:30:00+0000,2022-01-24T21:00:00+0000,2022-01-24T09:30:00-0500,2022-01-24T16:00:00-0500,False,2022,1,Monday,XNYS,America/New_York
2022-01-25,2022-01-25T14:30:00+0000,2022-01-25T21:00:00+0000,2022-01-25T09:30:00-0500,2022-01-25T16:00:00-0500,False,2022,1,Tuesday,XNYS,America/New_York
2022-01-26,2022-01-26T14:30:00+0000,2022-01-26T21:00:00+0000,2022-01-26T09:30:00-0500,2022-01-26T16:00:00-0500,False,2022,1,Wednesday,XNYS,America/New_York
